ac_voltage2,dc_current2,ac_voltage1,sampleTime,tdate,dc_voltage1,dc_current4,dc_voltage4,dc_voltage3,dc_current1,key,dc_current3,ac_current1,FALSE,ac_current2,dc_voltage2
334,606,423,1380889606,04/10/2013 10:27,549,519,464,521,570,5.49493E+15,601,13,,3,420
337,563,421,1380888953,04/10/2013 10:16,541,523,458,519,564,6.62887E+15,588,16,,4,364
335,636,431,1380888320,04/10/2013 10:05,565,521,466,534,576,4.59608E+15,611,16,,25,429
367,547,446,1380887686,04/10/2013 09:55,551,523,468,500,554,5.50297E+15,570,7,,22,430
402,538,447,1380887044,04/10/2013 09:44,577,513,479,533,577,6.18405E+15,609,5,,15,435
368,529,446,1380886411,04/10/2013 09:33,535,536,458,506,561,6.63677E+15,580,6,,4,433
417,526,448,1380885777,04/10/2013 09:23,535,517,461,495,580,5.05815E+15,616,12,,4,441
396,562,447,1380885143,04/10/2013 09:12,574,517,428,538,573,4.65339E+15,605,14,,3,433
417,530,446,1380884504,04/10/2013 09:02,516,548,451,507,539,5.51087E+15,548,5,,11,417
418,528,448,1380883871,04/10/2013 08:51,510,513,451,492,543,6.05788E+15,550,6,,5,451
418,616,448,1380883237,04/10/2013 08:40,510,516,459,485,557,4.67167E+15,575,14,,15,429
419,579,449,1380882584,04/10/2013 08:30,526,524,475,500,596,4.63326E+15,650,7,,7,440
418,527,449,1380881936,04/10/2013 08:19,565,518,478,546,594,4.60659E+15,647,9,,4,467
423,532,448,1380881303,04/10/2013 08:08,538,544,447,505,551,4.94002E+15,562,6,,14,429
446,553,452,1380880665,04/10/2013 07:58,533,514,459,512,566,5.34492E+15,588,12,,3,431
446,537,458,1380880025,04/10/2013 07:47,552,532,456,526,598,5.90786E+15,675,6,,15,439
448,529,467,1380879389,04/10/2013 07:36,527,552,444,495,565,6.46552E+15,586,10,,4,434
448,531,468,1380878751,04/10/2013 07:26,564,526,441,515,575,4.97184E+15,603,13,,3,451
448,613,474,1380878116,04/10/2013 07:15,568,521,461,543,574,5.33962E+15,605,17,,14,434
448,532,467,1380877481,04/10/2013 07:05,557,551,450,520,554,4.93198E+15,567,12,,3,431
333,525,420,1380822958,03/10/2013 15:56,338,555,419,331,509,5.48036E+15,511,6,,4,405
333,544,420,1380822325,03/10/2013 15:45,375,528,419,385,512,6.2015E+15,512,9,,5,405
297,539,383,1380821687,03/10/2013 15:35,412,568,420,408,512,5.0756E+15,516,14,,4,406
298,522,367,1380821053,03/10/2013 15:24,413,537,418,408,514,4.65854E+15,519,16,,3,407
310,517,419,1380820419,03/10/2013 15:13,413,617,408,407,517,4.95844E+15,522,21,,3,407
306,533,419,1380819785,03/10/2013 15:03,414,548,417,409,518,6.48813E+15,524,5,,5,407
304,564,379,1380819147,03/10/2013 14:52,413,653,413,389,518,4.85178E+15,523,22,,5,406
308,528,419,1380818514,03/10/2013 14:42,413,544,420,410,515,6.61155E+15,519,5,,4,407
333,566,419,1380817881,03/10/2013 14:31,413,640,414,387,514,5.93831E+15,520,23,,8,406
333,518,420,1380817195,03/10/2013 14:20,413,579,420,408,515,5.36223E+15,517,4,,3,407
334,591,420,1380816561,03/10/2013 14:09,412,633,415,386,512,5.15168E+15,516,24,,10,404
334,538,420,1380815925,03/10/2013 13:59,458,543,417,406,512,6.67395E+15,516,17,,3,407
333,550,420,1380815291,03/10/2013 13:48,431,648,413,383,513,5.54805E+15,515,16,,4,406
334,539,423,1380814654,03/10/2013 13:37,443,705,397,398,512,5.63855E+15,515,19,,12,408
333,631,420,1380814006,03/10/2013 13:27,404,720,396,429,511,5.1648E+15,512,45,,14,406
333,542,423,1380813367,03/10/2013 13:16,432,543,419,408,511,5.23991E+15,515,7,,13,407
333,594,419,1380812734,03/10/2013 13:05,412,560,422,412,513,5.13326E+15,519,14,,3,408
306,534,419,1380812091,03/10/2013 12:55,414,553,422,412,513,5.80286E+15,515,10,,3,409
298,553,384,1380811457,03/10/2013 12:44,387,647,419,384,511,5.69621E+15,512,28,,4,409
298,531,390,1380810825,03/10/2013 12:34,416,565,418,411,513,5.09388E+15,514,14,,4,411
301,612,369,1380810184,03/10/2013 12:23,416,561,425,416,517,5.65683E+15,522,16,,9,412
333,536,419,1380809551,03/10/2013 12:12,499,544,425,442,532,6.111E+15,539,4,,17,421
334,564,426,1380808913,03/10/2013 12:02,528,535,489,573,601,4.67696E+15,619,14,,4,467
333,548,420,1380808280,03/10/2013 11:51,555,526,456,606,598,5.19889E+15,573,9,,7,350
334,538,425,1380807644,03/10/2013 11:41,534,533,479,478,570,5.71463E+15,590,16,,4,427
337,513,423,1380807013,03/10/2013 11:30,541,584,484,595,604,5.2294E+15,575,15,,3,353
339,528,445,1380806379,03/10/2013 11:20,550,526,439,603,600,6.48009E+15,596,16,,4,473
344,528,445,1380805741,03/10/2013 11:09,538,555,478,498,573,4.60185E+15,605,17,,5,443
334,520,437,1380805105,03/10/2013 10:58,518,662,460,470,565,5.61217E+15,587,35,,3,434
368,527,446,1380804467,03/10/2013 10:48,566,537,495,582,606,6.0486E+15,633,4,,3,415
392,534,448,1380803824,03/10/2013 10:37,539,657,381,501,546,4.69036E+15,558,13,,8,368
407,531,448,1380803191,03/10/2013 10:26,485,538,442,464,536,4.9227E+15,545,4,,7,426
380,519,447,1380802545,03/10/2013 10:16,589,640,481,544,608,6.12715E+15,670,23,,4,466
417,596,446,1380801907,03/10/2013 10:05,421,537,428,422,528,6.71656E+15,534,34,,4,415
418,551,448,1380801262,03/10/2013 09:54,569,677,429,539,591,4.9851E+15,646,39,,3,437
419,598,449,1380800629,03/10/2013 09:44,524,534,451,484,551,6.50655E+15,566,9,,6,423
422,584,452,1380799992,03/10/2013 09:33,539,534,486,538,595,6.51995E+15,627,8,,5,440
448,533,465,1380799359,03/10/2013 09:22,507,596,463,479,558,5.39405E+15,576,24,,4,434
448,615,469,1380798726,03/10/2013 09:12,552,563,434,532,552,6.64254E+15,569,10,,9,422
449,560,476,1380798093,03/10/2013 09:01,549,606,423,539,562,5.5376E+15,583,16,,5,431
461,585,477,1380797457,03/10/2013 08:51,540,537,409,506,547,6.45659E+15,560,15,,5,428
461,634,478,1380796821,03/10/2013 08:40,541,538,456,487,546,5.26657E+15,560,17,,15,449
461,508,478,1380796186,03/10/2013 08:30,568,511,491,617,596,6.20666E+15,554,2,,3,383
461,513,477,1380795500,03/10/2013 08:18,537,508,493,557,556,4.8177E+15,562,2,,2,438
462,515,477,1380794867,03/10/2013 08:08,537,509,488,487,553,5.08076E+15,569,2,,2,430
462,511,478,1380794234,03/10/2013 07:57,548,509,493,575,565,5.60406E+15,572,3,,3,443
462,513,478,1380793577,03/10/2013 07:46,544,511,474,505,547,5.76713E+15,558,2,,3,339
461,511,477,1380792944,03/10/2013 07:36,584,512,483,548,570,5.51664E+15,594,2,,2,439
462,513,478,1380792311,03/10/2013 07:25,522,513,469,485,539,4.8311E+15,546,2,,2,431
462,509,478,1380791678,03/10/2013 07:14,546,509,449,509,551,6.40862E+15,566,2,,2,453
462,509,477,1380791046,03/10/2013 07:04,534,507,461,510,539,5.33069E+15,549,2,,3,432
262,707,316,1380736490,02/10/2013 15:55,305,537,429,314,510,6.53321E+15,511,13,,16,398
276,740,340,1380735857,02/10/2013 15:44,368,516,431,360,510,5.40731E+15,512,14,,28,398
272,527,340,1380735219,02/10/2013 15:34,412,523,433,422,514,4.97465E+15,515,3,,5,406
276,525,340,1380734586,02/10/2013 15:23,413,522,434,424,517,5.97026E+15,518,14,,4,407
288,534,322,1380733950,02/10/2013 15:12,413,562,433,427,521,6.43508E+15,524,15,,4,408
273,528,316,1380733309,02/10/2013 15:02,414,519,438,430,521,5.26925E+15,526,10,,4,408
279,536,316,1380732676,02/10/2013 14:51,414,547,440,430,522,4.96661E+15,529,6,,15,409
264,584,314,1380732043,02/10/2013 14:41,413,519,448,440,527,6.18027E+15,533,15,,6,408
288,533,314,1380731410,02/10/2013 14:30,499,536,460,492,533,5.05437E+15,541,13,,4,393
267,557,314,1380730712,02/10/2013 14:18,536,523,472,514,545,5.30918E+15,558,15,,4,438
288,629,314,1380730073,02/10/2013 14:08,528,525,479,494,543,6.19862E+15,558,16,,15,422
264,557,316,1380729435,02/10/2013 13:57,561,514,492,595,565,5.88553E+15,562,16,,3,439
270,540,314,1380728781,02/10/2013 13:46,542,517,486,567,554,6.46174E+15,566,4,,12,425
266,542,315,1380728146,02/10/2013 13:36,534,562,474,507,546,5.23517E+15,559,14,,4,423
282,585,314,1380727513,02/10/2013 13:25,541,562,461,518,522,6.06647E+15,552,16,,3,424
264,600,314,1380726876,02/10/2013 13:14,522,528,462,517,540,5.79812E+15,552,14,,3,353
264,546,314,1380726238,02/10/2013 13:04,529,521,465,520,541,5.42346E+15,550,16,,3,409
285,665,314,1380725598,02/10/2013 12:53,497,559,455,476,537,4.99307E+15,543,23,,20,413
262,548,314,1380724965,02/10/2013 12:43,545,524,465,512,550,6.74837E+15,567,16,,5,348
287,537,314,1380724333,02/10/2013 12:32,525,527,467,485,544,6.69587E+15,556,3,,15,398
262,538,314,1380723691,02/10/2013 12:21,476,569,456,453,539,4.53622E+15,548,14,,3,433
262,551,316,1380723057,02/10/2013 12:11,519,528,485,523,587,5.56997E+15,595,16,,3,407
264,617,315,1380722423,02/10/2013 12:00,529,523,484,590,599,5.62247E+15,583,16,,3,441
264,558,314,1380721785,02/10/2013 11:50,522,546,479,501,564,6.25174E+15,585,10,,3,427
264,526,325,1380721152,02/10/2013 11:39,556,526,492,608,598,5.25613E+15,578,14,,4,431
264,546,314,1380720518,02/10/2013 11:28,498,526,458,477,553,6.18542E+15,566,4,,23,425
274,539,316,1380719885,02/10/2013 11:18,522,609,483,565,606,6.37399E+15,588,9,,14,443
288,614,316,1380719253,02/10/2013 11:07,529,534,485,557,604,5.98641E+15,620,16,,3,435
