text,tdate,key
"Mon Sep 30 17:05:18 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 5s).",2013-09-30 15:05:23,4581613413335040
"Sun Sep 29 14:11:17 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 8s).",2013-09-29 12:11:26,4582163169148928
"Sat Sep 14 16:40:16 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 4s).",2013-09-14 14:40:20,4582352147709952
"Fri Sep 27 15:18:06 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-75dbm). Unsuccessful.",2013-09-27 13:18:12,4585564783247360
"Thu Sep 12 06:12:43 2013
 (Rwanda).successful (3s) - GSM (2G). Registered on Home Network (-71dbm). Successful (55 bytes - 5s).",2013-09-12 04:12:49,4587025072128000
"Sat Sep 21 13:08:15 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 4s).",2013-09-21 11:08:19,4587918425325568
"Thu Oct  3 08:53:57 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Unsuccessful.",2013-10-03 06:54:01,4588725879177216
"Tue Sep 10 06:19:50 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (46 bytes - 4s).",2013-09-10 04:19:56,4589636412243968
"Sun Sep 29 11:21:33 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Successful (54 bytes - 4s).",2013-09-29 09:21:38,4595185509990400
"Mon Sep 23 14:01:06 2013
 (Rwanda).successful (3s) - GSM (2G). Registered on Home Network (-75dbm). Successful (55 bytes - 7s).",2013-09-23 12:01:12,4595477567766528
"Fri Sep 20 08:42:39 2013
 (Rwanda).successful (3s) - GSM (2G). Registered on Home Network (-75dbm). Unsuccessful.",2013-09-20 06:42:48,4596439640440832
"Sat Sep 14 07:39:15 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 4s).",2013-09-14 05:39:19,4598295066312704
"Wed Sep 11 15:19:00 2013
 (Rwanda).successful (4s) - UMTS (3G). Registered on Home Network (-101dbm). Successful (55 bytes - 7s).",2013-09-11 13:19:08,4600081772707840
"Mon Sep 30 07:07:49 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-71dbm). Unsuccessful.",2013-09-30 05:07:54,4602607213477888
"Sun Sep 15 17:42:45 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (55 bytes - 5s).",2013-09-15 15:42:51,4603517746544640
"Thu Sep 12 09:10:16 2013
 (Rwanda).successful (2s) - GSM (2G). Registered on Home Network (-69dbm). Successful (54 bytes - 5s).",2013-09-12 07:10:21,4604067502358528
